ID,Accession Number,Author-Supplied Keywords,Authors,Company/Entity,Cut and Paste,DOI,Document Type,Full Text Word Count,Geographic Terms,ISSN,Notes,People,Publication Model,Reviews & Products,Source,Subject Terms,Title,UR,Full Text (y/n)
PT-0078,161854469,Bypassing Machine induction Manipulation argument Moral responsibility,"De Marco, Gabriel^1 gabriel.demarco@philosophy.ox.ac.uk",,"<A href=""https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=161854469&site=ehost- live&scope=site"">Manipulation, machine induction, and bypassing.</A> *Database: * Academic Search Premier",10.1007/s11098-022-01906-2,Article,11002,,0031-8116,,,,,"Philosophical Studies. Feb2023, Vol. 180 Issue 2, p487-507. 21p.",*MANIPULATIVE behavior *RESPONSIBILITY *DETERMINISM (Philosophy) *THEORISTS *MENTAL health,"Manipulation, machine induction, and bypassing.",https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=161854469&site=ehost-live&scope=site *Persistent link to this record (Permalink): * https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=161854469&site=ehost-live&scope=site <https:// search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=161854469&site=ehost-live&scope=site>,y
PT-0079,152286405,,Kwanghyuk Yoo^1,,"<A href=""https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=152286405&site=ehost-live&scope=site"">Academic Law Libraries' New Frontier--The Post-truth Cognitive Bias Challenge and Calls for Behavioral and Structural Reforms.</A> *Database: * Academic Search Premier",,Article,,,0023-9283,,,,,"Law Library Journal. Spring2021, Vol. 113 Issue 2, p129-154. 26p.",*ACADEMIC libraries *LAW librarians *LIBRARIANS *BLOCKCHAINS *LIBRARY cooperation,Academic Law Libraries' New Frontier--The Post-truth Cognitive Bias Challenge and Calls for Behavioral and Structural Reforms.,https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=152286405&site=ehost-live&scope=site *Persistent link to this record (Permalink): * https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=152286405&site=ehost-live&scope=site <https:// search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=152286405&site=ehost-live&scope=site>,n
PT-0080,148342346,methods of inquiry narrative politics and culture post-truth pragmatism truth,"Francis Badley, Graham^1 (AUTHOR)graham.badley@anglia.ac.uk",,"<A href=""https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=148342346&site=ehost- live&scope=site"">Fragments of Truth and Post-Truth: An Associative Collage.</A> *Database: * Academic Search Premier",10.1177/1077800420920697,Article,8727,,1077-8004,,,,,"Qualitative Inquiry. Mar/Apr2021, Vol. 27 Issue 3/4, p444-454. 11p.",*COLLAGE *POLITICS & culture,Fragments of Truth and Post-Truth: An Associative Collage.,https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=148342346&site=ehost-live&scope=site *Persistent link to this record (Permalink): * https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=148342346&site=ehost-live&scope=site <https:// search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=148342346&site=ehost-live&scope=site>,n
PT-0081,163186801,COVID-19 fact-checking leadership public communication vaccination,"Rivas-de-Roca, Rubén^1 ruben.rivasderoca@urjc.es Pérez-Curiel, Concha^2",,"<A href=""https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=163186801&site=ehost-live&scope=site"">Global political leaders during the COVID-19 vaccination: Between propaganda and fact-checking.</A> *Database: * Academic Search Premier",10.1017/pls.2023.4,Article,9059,,0730-9384,,,,,"Politics & the Life Sciences. Apr2023, Vol. 42 Issue 1, p104-119. 16p. 3 Charts.",*COVID-19 pandemic *COVID-19 vaccines *POLITICIANS *PROPAGANDA *CRISIS communication,Global political leaders during the COVID-19 vaccination: Between propaganda and fact-checking.,https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=163186801&site=ehost-live&scope=site *Persistent link to this record (Permalink): * https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=163186801&site=ehost-live&scope=site <https:// search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=163186801&site=ehost-live&scope=site>,y
PT-0082,162878424,barkandji darling baaka river fascines à poissons fish weirs gestion de l'eau et de l'écologie indigenous fish traps pièges à poissons indigènes water and ecological management,"Martin, Sarah^1 (AUTHOR)sarahmartin7@bigpond.com Chanson, Hubert^2 (AUTHOR)h.chanson@uq.edu.au Bates, Badger^3 (AUTHOR)badgerbatesartist@outlook.com Keenan‐Jones, Duncan^4 (AUTHOR)d.keenanjones@uq.edu.au Westaway, Michael C.^5 (AUTHOR)m.westaway@uq.edu.au",,"<A href=""https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=162878424&site=ehost- live&scope=site"">Indigenous fish traps and fish weirs on the Darling (Baaka) River, south‐eastern Australia, and their influence on the ecology and morphology of the river and floodplains.</A> *Database: * Academic Search Premier",10.1002/arco.5279,Article,15243,AUSTRALIA,0728-4896,,,,,"Archaeology in Oceania. Apr2023, Vol. 58 Issue 1, p91-114. 24p.",*FISH traps *FLOODPLAINS *INDIGENOUS fishes *RIVER ecology *WEIRS,"Indigenous fish traps and fish weirs on the Darling (Baaka) River, south‐eastern Australia, and their influence on the ecology and morphology of the river and floodplains.",https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=162878424&site=ehost-live&scope=site *Persistent link to this record (Permalink): * https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=162878424&site=ehost-live&scope=site <https:// search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=162878424&site=ehost-live&scope=site>,y
PT-0083,157770240,America First critical security studies Donald Trump narratives national security political rhetoric populism US foreign policy,"Löfflmann, Georg^1 (AUTHOR)g.lofflmann@warwick.ac.uk",,"<A href=""https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=157770240&site=ehost-live&scope=site"">'Enemies of the people': Donald Trump and the security imaginary of America First.</A> *Database: * Academic Search Premier",10.1177/13691481211048499,Article,9368,,1369-1481,,"TRUMP, Donald, 1946-",,,"British Journal of Politics & International Relations. Aug2022, Vol. 24 Issue 3, p543-560. 18p.",*TRADE regulation *POLITICAL psychology *NATIONAL security *INTERNATIONAL relations *RHETORIC & politics *ANXIETY,'Enemies of the people': Donald Trump and the security imaginary of America First.,https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=157770240&site=ehost-live&scope=site *Persistent link to this record (Permalink): * https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=157770240&site=ehost-live&scope=site <https:// search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=157770240&site=ehost-live&scope=site>,y
PT-0084,160676472,Australian Labor Party climate change ecological modernisation political beliefs progressive,"de Groot, Babet^1 (AUTHOR)babet.degroot@sydney.edu.au",AUSTRALIAN Labor Party,"<A href=""https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=160676472&site=ehost-live&scope=site"">Does the Australian Labor Party care about climate change? A content analysis of ALP attitudes towards the environment from 2007 to 2013.</A> *Database: * Academic Search Premier",10.1080/10361146.2022.2107485,Article,7904,,1036-1146,,,,,"Australian Journal of Political Science. Dec2022, Vol. 57 Issue 4, p386-402. 17p. 2 Charts, 1 Graph.",*ATTITUDES toward the environment *CLIMATE change *CLIMATE change mitigation *ATTITUDE change (Psychology) *CONTENT analysis,Does the Australian Labor Party care about climate change? A content analysis of ALP attitudes towards the environment from 2007 to 2013.,https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=160676472&site=ehost-live&scope=site *Persistent link to this record (Permalink): * https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=160676472&site=ehost-live&scope=site <https:// search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=160676472&site=ehost-live&scope=site>,y
PT-0085,158076995,,"Uscinski, Joseph^1 (AUTHOR)uscinski@miami.edu Enders, Adam^2 (AUTHOR) Klofstad, Casey^1 (AUTHOR) Seelig, Michelle^3 (AUTHOR) Drochon, Hugo^4 (AUTHOR) Premaratne, Kamal^5 (AUTHOR) Murthi, Manohar^5 (AUTHOR)",,"<A href=""https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=158076995&site=ehost-live&scope=site"">Have beliefs in conspiracy theories increased over time?</A> *Database: * Academic Search Premier",10.1371/journal.pone.0270429,Article,9538,,1932-6203,,,,,"PLoS ONE. 7/20/2022, Vol. 17 Issue 7, p1-19. 19p.",*CONSPIRACY theories,Have beliefs in conspiracy theories increased over time?,https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=158076995&site=ehost-live&scope=site *Persistent link to this record (Permalink): * https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=158076995&site=ehost-live&scope=site <https:// search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=158076995&site=ehost-live&scope=site>,y
PT-0086,142632604,,"Suspitsyna, Tatiana^1",,"<A href=""https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=142632604&site=ehost- live&scope=site"">Comparative and international education research in a post‐truth era.</A> *Database: * Academic Search Premier",10.1111/hequ.12214,Article,6488,,0951-5224,,,,,"Higher Education Quarterly. Apr2020, Vol. 74 Issue 2, p124-135. 12p.",*EDUCATION research *POSTCOLONIALISM *UNITED States education system *PUBLIC support *THEORY of knowledge,Comparative and international education research in a post‐truth era.,https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=142632604&site=ehost-live&scope=site *Persistent link to this record (Permalink): * https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=142632604&site=ehost-live&scope=site <https:// search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=142632604&site=ehost-live&scope=site>,y
PT-0087,158012310,academic freedom Georgia post‐Soviet universities university autonomy,"Kobakhidze, M. Nutsa^1 nutsak@hku.hk Samniashvili, Lela^2",,"<A href=""https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=158012310&site=ehost-live&scope=site"">""Less USSR, more democracy please!"": Hope and discontent in Georgia's quest for academic freedom.</A> *Database: * Academic Search Premier",10.1111/hequ.12382,Article,9061,SOVIET Union GEORGIA,0951-5224,,,,,"Higher Education Quarterly. Jul2022, Vol. 76 Issue 3, p595-611. 17p.",*ACADEMIC freedom *UNIVERSITIES & colleges *CENSORSHIP *EDUCATIONAL law & legislation,"""Less USSR, more democracy please!"": Hope and discontent in Georgia's quest for academic freedom.",https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=158012310&site=ehost-live&scope=site *Persistent link to this record (Permalink): * https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=158012310&site=ehost-live&scope=site <https:// search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=158012310&site=ehost-live&scope=site>,y
PT-0088,145036176,,"Barzilai, Sarit^1 (AUTHOR)sarit.barzilai@edu.haifa.ac.il Chinn, Clark A.^2 (AUTHOR)",,"<A href=""https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=145036176&site=ehost-live&scope=site"">A review of educational responses to the ""post-truth"" condition: Four lenses on ""post-truth"" problems.</A> *Database: * Academic Search Premier",10.1080/00461520.2020.1786388,Article,11947,,0046-1520,,,,,"Educational Psychologist. Jul-Sep2020, Vol. 55 Issue 3, p107-119. 13p. 1 Chart.",*COMMON misconceptions *EDUCATORS *TRUTH *EXPLANATION *THREAT (Psychology),"A review of educational responses to the ""post-truth"" condition: Four lenses on ""post-truth"" problems.",https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=145036176&site=ehost-live&scope=site *Persistent link to this record (Permalink): * https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=145036176&site=ehost-live&scope=site <https:// search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=145036176&site=ehost-live&scope=site>,y
PT-0089,154461314,,"Safford, Thomas G.^1 (AUTHOR)Tom.Safford@unh.edu Whitmore, Emily H.^1 (AUTHOR) Hamilton, Lawrence C.^1 (AUTHOR)",,"<A href=""https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=154461314&site=ehost- live&scope=site"">Scientists, presidents, and pandemics—comparing the science–politics nexus during the Zika virus and COVID‐19 outbreaks.</A> *Database: * Academic Search Premier",10.1111/ssqu.13084,Article,,,0038-4941,,"TRUMP, Donald, 1946- OBAMA, Barack, 1961-",,,"Social Science Quarterly (Wiley-Blackwell). Nov2021, Vol. 102 Issue 6, p2482-2498. 17p. 3 Charts, 3 Graphs.","*COVID-19 pandemic *ZIKA virus *PANDEMICS *PRESIDENTS *UNITED States presidential election, 2020 *INTEGRITY *COVID-19","Scientists, presidents, and pandemics—comparing the science–politics nexus during the Zika virus and COVID‐19 outbreaks.",https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=154461314&site=ehost-live&scope=site *Persistent link to this record (Permalink): * https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=154461314&site=ehost-live&scope=site <https:// search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=154461314&site=ehost-live&scope=site>,y
PT-0090,145667461,clinical trials Contingency management Criminal justice HOPE probation replication substance use disorder,"Humphreys, Keith^1 (AUTHOR)knh@stanford.edu Kilmer, Beau^2 (AUTHOR)",,"<A href=""https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=145667461&site=ehost-live&scope=site"">Still HOPEful: Reconsidering a ""failed"" replication of a swift, certain, and fair approach to reducing substance use among individuals under criminal justice supervision.</A> *Database: * Academic Search Premier",10.1111/add.15049,Article,,HAWAII,0965-2140,,,,,"Addiction. Oct2020, Vol. 115 Issue 10, p1973-1977. 5p. 1 Chart.",*SUBSTANCE abuse prevention *BEHAVIOR modification *HEALTH behavior *EVALUATION of human services programs *MOTIVATION (Psychology) *PROBATION *PUNISHMENT *REWARD (Psychology),"Still HOPEful: Reconsidering a ""failed"" replication of a swift, certain, and fair approach to reducing substance use among individuals under criminal justice supervision.",https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=145667461&site=ehost-live&scope=site *Persistent link to this record (Permalink): * https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=145667461&site=ehost-live&scope=site <https:// search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=145667461&site=ehost-live&scope=site>,y
PT-0091,154346920,biases corrections epistemic vigilance gullibility political misinformation,"Pantazi, Myrto^1 (AUTHOR)myrto.pantazi@oii.ox.ac.uk Hale, Scott^1 (AUTHOR) Klein, Olivier^2 (AUTHOR)",,"<A href=""https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=154346920&site=ehost-live&scope=site"">Social and Cognitive Aspects of the Vulnerability to Political Misinformation.</A> *Database: * Academic Search Premier",10.1111/pops.12797,Article,,,0162-895X,,,,,"Political Psychology. Dec2021 Supplement S1, Vol. 42, p267-304. 38p.","*BREXIT Referendum, 2016 *MISINFORMATION *PSYCHOLOGICAL research *POLITICAL psychology *POLITICAL scientists",Social and Cognitive Aspects of the Vulnerability to Political Misinformation.,https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=154346920&site=ehost-live&scope=site *Persistent link to this record (Permalink): * https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=154346920&site=ehost-live&scope=site <https:// search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=154346920&site=ehost-live&scope=site>,y
PT-0092,146827571,political elites politicians post-truth Weber,"Boswell, John^1 j.c.boswell@soton.ac.uk Corbett, Jack^1 Havercroft, Jonathan^1",,"<A href=""https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=146827571&site=ehost-live&scope=site"">Politics and Science as a Vocation: Can Academics Save us from Post-Truth Politics?</A> *Database: * Academic Search Premier",10.1177/1478929919875065,Article,9177,,1478-9299,,,,,"Political Studies Review. Nov2020, Vol. 18 Issue 4, p575-590. 16p.",*POLITICAL science *SOCIAL sciences *SCHOLARS *SOCIAL scientists *POLITICIANS,Politics and Science as a Vocation: Can Academics Save us from Post- Truth Politics?,https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=146827571&site=ehost-live&scope=site *Persistent link to this record (Permalink): * https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=146827571&site=ehost-live&scope=site <https:// search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=146827571&site=ehost-live&scope=site>,y
PT-0093,157039806,academies of sciences basic concepts cooperation forward looks,"Engelbrecht, Jüri^1 je@ioc.ee Šlaus, Ivo^2 slaus@irb.hr",,"<A href=""https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=157039806&site=ehost- live&scope=site"">ACADEMIES OF SCIENCES IN THE CONTEMPORARY WORLD.</A> *Database: * Academic Search Premier",10.3176/tr.2022.2.01,Article,,GREECE ITALY,1406-0922,,,,,"TRAMES: A Journal of the Humanities & Social Sciences. 2022, Vol. 26 Issue 2, p131-139. 9p.",*INTERNATIONAL cooperation *ANCIENT history *RENAISSANCE,ACADEMIES OF SCIENCES IN THE CONTEMPORARY WORLD.,https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=157039806&site=ehost-live&scope=site *Persistent link to this record (Permalink): * https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=157039806&site=ehost-live&scope=site <https:// search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=157039806&site=ehost-live&scope=site>,n
PT-0094,129472072,<italic>Teach for Bangladesh</italic> policy as audio-video bytes post-truth social imaginary social-mediatisation vernacularisation,"Adhikary, Rino Wiseman^1 r.adhikary@uq.edu.au Lingard, Bob^1 Hardy, Ian^1",,"<A href=""https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=129472072&site=ehost-live&scope=site"">A critical examination of <italic>Teach for Bangladesh’s</italic> Facebook page: ‘Social-mediatisation’ of global education reforms in the ‘post-truth’ era.</A> *Database: * Academic Search Premier",10.1080/02680939.2018.1445294,Article,15212,BANGLADESH,0268-0939,,,,FACEBOOK (Web resource),"Journal of Education Policy. Sep2018, Vol. 33 Issue 5, p632-661. 30p.",*EDUCATIONAL change *SOCIAL media *EDUCATIONAL technology *NEOLIBERALISM *YOUNG adults *HIGHER education,A critical examination of <italic>Teach for Bangladesh’s</italic> Facebook page: ‘Social-mediatisation’ of global education reforms in the ‘post-truth’ era.,https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=129472072&site=ehost-live&scope=site *Persistent link to this record (Permalink): * https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=129472072&site=ehost-live&scope=site <https:// search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=129472072&site=ehost-live&scope=site>,n
PT-0095,174555274,,"Gherghina, Sergiu^1 sergiulor@yahoo.com Silagadze, Nanuli^2",,"<A href=""https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=174555274&site=ehost-live&scope=site"">Party Cues and Pre-Campaign Attitudes: Voting Choice in Referendums in Eastern Europe.</A> *Database: * Academic Search Premier",10.1080/10758216.2021.1963780,Article,,EASTERN Europe,1075-8216,,,,,"Problems of Post-Communism. Nov/Dec2023, Vol. 70 Issue 6, p581-592. 12p.",*REFERENDUM *VOTING *POLITICAL participation *POLITICAL parties *ATTITUDE (Psychology) *ATTITUDES toward work,Party Cues and Pre-Campaign Attitudes: Voting Choice in Referendums in Eastern Europe.,https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=174555274&site=ehost-live&scope=site *Persistent link to this record (Permalink): * https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=174555274&site=ehost-live&scope=site <https:// search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=174555274&site=ehost-live&scope=site>,n
PT-0096,150263168,Identity Politics Indonesia Post-Democracy Post-Truth,"SAWITRI, MADE YAYA^1 yayasawitri@gmail.com WIRATMAJA, I NYOMAN^1 inyomanwiratmaja@gmail.com",,"<A href=""https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=150263168&site=ehost-live&scope=site"">On the Brink of Post-Democracy: Indonesia’s Identity Politics in the Post- Truth Era.</A> *Database: * Academic Search Premier",10.20901/pm.58.2.06,Article,,INDONESIA JAKARTA (Indonesia),0032-3241,,,,,"Politicka Misao: Croatian Political Science Review. 2021, Vol. 58 Issue 2, p141-159. 19p.",*IDENTITY politics *SECONDARY analysis *ELECTIONS,On the Brink of Post-Democracy: Indonesia’s Identity Politics in the Post-Truth Era.,https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=150263168&site=ehost-live&scope=site *Persistent link to this record (Permalink): * https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=150263168&site=ehost-live&scope=site <https:// search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=150263168&site=ehost-live&scope=site>,n
PT-0097,122173580,,"Stratford, Robert^1 (AUTHOR)stratty@slingshot.co.nz",,"<A href=""https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=122173580&site=ehost-live&scope=site"">Post- truth, political ecology and education.</A> *Database: * Academic Search Premier",10.1080/00131857.2017.1288810,Article,,,0013-1857,,"TRUMP, Donald, 1946- FARAGE, Nigel, 1964-",,,"Educational Philosophy & Theory. Jun2017, Vol. 49 Issue 6, p586-587. 2p.",*POLITICAL ecology *FINANCIAL crises *POLITICAL culture *DEMOCRACY *EDUCATION & politics *EDUCATION of young adults *HIGHER education *MASS mobilization *ECONOMICS,"Post-truth, political ecology and education.",https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=122173580&site=ehost-live&scope=site *Persistent link to this record (Permalink): * https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=122173580&site=ehost-live&scope=site <https:// search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=122173580&site=ehost-live&scope=site>,y
PT-0098,158082080,analytical psychology collective consciousness fake news imaginary vulnerability Analytische Psychologie Fake News Imaginäres kollektives Bewußtsein Verletzlichkeit consciencia colectiva imaginería noticias falsas psicología analítica vulnerabilidad 'fake news' conscience collective imaginaire psychologie analytique vulnérabilité coscienza collettiva immaginario psicologia analitica vulnerabilità consciência coletiva imaginário notícias falsas psicologia analítica vulnerabilidade аналитическая психология воображаемое коллективное сознание уязвимость фальшивые новости 假新闻 分析心理学 想象 脆弱性 集体意识 Language of Keywords: English; German; Spanish; French; Italian; Portuguese; Russian; Chinese,"Bragarnich, Rubens^1 (AUTHOR)",,"<A href=""https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=158082080&site=ehost- live&scope=site"">Observations on psychic vulnerability to media dissemination of false political-ideological messages (fake news).</A> *Database: * Academic Search Premier",10.1111/1468-5922.12807,Article,4963,,0021-8774,,,,,"Journal of Analytical Psychology. Apr2022, Vol. 67 Issue 2, p455-467. 13p.",,Observations on psychic vulnerability to media dissemination of false political-ideological messages (fake news).,https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=158082080&site=ehost-live&scope=site *Persistent link to this record (Permalink): * https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=158082080&site=ehost-live&scope=site <https:// search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=158082080&site=ehost-live&scope=site>,y
PT-0099,152714930,,"Hung, Ruyu^1 Zhengmei, Peng^2 Kato, Morimichi^3 Nishihira, Tadashi^4 Okabe, Mika^5 Di, Xu^6 Kwak, Duck-Joo^7 Hwang, Keumjoong^8 Tschong, Youngkun^9 Chien, Cheng-His^10 Peters, Michael A.^11 Tesar, Marek^12",,"<A href=""https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=152714930&site=ehost- live&scope=site"">Philosophy of Education in a New Key: East Asia: (A collective project of the PESA executive).</A> *Database: * Academic Search Premier",10.1080/00131857.2020.1772028,Article,9444,,0013-1857,,,,,"Educational Philosophy & Theory. Nov2021, Vol. 53 Issue 12, p1199-1214. 16p.","*PHILOSOPHY of education *INFLUENCE (Literary, artistic, etc.) *JAPANESE writing *CHINESE writing *CALENDAR art *JAPANESE poetry KOREAN writing",Philosophy of Education in a New Key: East Asia: (A collective project of the PESA executive).,https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=152714930&site=ehost-live&scope=site *Persistent link to this record (Permalink): * https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=152714930&site=ehost-live&scope=site <https:// search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=152714930&site=ehost-live&scope=site>,y
PT-0100,148981285,,"Woodford, Paul^1 (AUTHOR)woodford@uwo.ca",,"<A href=""https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=148981285&site=ehost-live&scope=site"">Response to the Review of the Book: Music Education in an Age of Virtuality and Post-Truth (Routledge, 2019).</A> *Database: * Academic Search Premier",10.1080/10632913.2019.1678082,Article,,,1063-2913,,,,,"Arts Education Policy Review. 2021, Vol. 122 Issue 2, p141-144. 4p.",*MUSIC education *MUSIC education advocacy *PHILOSOPHY of education *PUBLIC opinion,"Response to the Review of the Book: Music Education in an Age of Virtuality and Post-Truth (Routledge, 2019).",https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=148981285&site=ehost-live&scope=site *Persistent link to this record (Permalink): * https://search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=148981285&site=ehost-live&scope=site <https:// search-ebscohost-com.proxy.uba.uva.nl/login.aspx? direct=true&db=aph&AN=148981285&site=ehost-live&scope=site>,y
